ROUTE_ID;ROUTE_START_TIME;ROUTE_END_TIME
34954927;01.03.2020 16:03:02;01.03.2020 21:01:45
34954935;01.03.2020 03:04:36;01.03.2020 07:34:08
34954936;01.03.2020 13:47:20;01.03.2020 19:03:23
34954937;01.03.2020 11:40:12;01.03.2020 14:30:44
34954944;01.03.2020 19:06:50;01.03.2020 23:30:46
34954962;01.03.2020 16:13:57;01.03.2020 21:12:55
34954963;01.03.2020 08:09:30;01.03.2020 17:11:43
34954972;01.03.2020 11:08:05;01.03.2020 14:10:00
34954985;01.03.2020 17:43:02;01.03.2020 21:29:26
34955003;01.03.2020 00:33:41;01.03.2020 04:15:10
34955008;01.03.2020 14:52:48;02.03.2020 00:47:56
34955012;01.03.2020 06:25:19;01.03.2020 14:26:26
34955014;01.03.2020 13:39:38;01.03.2020 16:44:45
34955019;01.03.2020 12:32:16;01.03.2020 16:09:43
34955036;01.03.2020 15:06:36;01.03.2020 22:58:31
34955038;01.03.2020 08:18:31;01.03.2020 14:13:58
34955048;01.03.2020 14:50:15;01.03.2020 23:03:47
34955051;01.03.2020 00:18:11;01.03.2020 05:46:31
34955070;01.03.2020 14:47:48;01.03.2020 20:40:29
34955084;01.03.2020 15:56:16;01.03.2020 19:33:11
34955089;01.03.2020 06:57:34;01.03.2020 14:24:57
34955097;01.03.2020 15:32:51;01.03.2020 22:08:19
34955107;01.03.2020 10:44:07;01.03.2020 16:08:38
34955125;01.03.2020 21:17:35;01.03.2020 22:48:46
34955126;01.03.2020 15:07:18;01.03.2020 21:06:09
34955136;01.03.2020 14:40:30;01.03.2020 21:00:47
34955137;01.03.2020 06:57:09;01.03.2020 19:52:52
34955141;01.03.2020 06:38:56;01.03.2020 20:53:47
34955146;01.03.2020 16:16:48;01.03.2020 21:40:27
34955148;01.03.2020 07:18:49;01.03.2020 15:38:41
34955188;01.03.2020 15:34:23;01.03.2020 20:37:13
34955198;01.03.2020 20:51:24;01.03.2020 22:00:38
34955214;01.03.2020 16:02:42;01.03.2020 20:37:42
34955246;01.03.2020 07:26:53;01.03.2020 15:22:06
34955249;01.03.2020 10:02:57;01.03.2020 13:18:36
34955252;01.03.2020 17:03:20;01.03.2020 19:31:08
34955257;01.03.2020 14:21:46;01.03.2020 22:00:24
34955278;01.03.2020 14:31:09;01.03.2020 18:26:28
34955313;01.03.2020 17:51:06;01.03.2020 21:59:09
34955318;01.03.2020 14:25:32;01.03.2020 20:41:25
34955324;01.03.2020 16:13:16;01.03.2020 19:37:32
34955325;01.03.2020 20:07:50;01.03.2020 21:16:23
34955327;01.03.2020 07:12:59;01.03.2020 18:16:29
34955334;01.03.2020 06:20:55;01.03.2020 12:32:18
34955335;29.02.2020 23:46:45;01.03.2020 07:26:56
34955338;01.03.2020 06:41:29;01.03.2020 15:23:33
34955345;01.03.2020 00:55:33;01.03.2020 03:57:44
34955358;01.03.2020 10:59:12;01.03.2020 15:59:13
34955379;01.03.2020 07:41:47;01.03.2020 16:40:42
34955386;01.03.2020 07:39:35;01.03.2020 13:45:03
34955390;01.03.2020 09:40:52;01.03.2020 12:58:00
34955393;01.03.2020 11:55:44;01.03.2020 14:12:24
34955424;01.03.2020 14:39:11;01.03.2020 17:35:33
34955450;01.03.2020 07:08:33;01.03.2020 14:27:46
34955469;01.03.2020 05:55:42;01.03.2020 14:53:05
34955470;01.03.2020 06:15:53;01.03.2020 18:48:47
34955480;01.03.2020 15:09:33;01.03.2020 20:26:58
34955481;01.03.2020 05:52:41;01.03.2020 17:21:36
34955487;01.03.2020 10:26:52;01.03.2020 14:19:30
34955488;01.03.2020 16:19:49;02.03.2020 01:02:04
34955489;01.03.2020 07:06:43;01.03.2020 18:21:12
34955490;01.03.2020 14:39:22;01.03.2020 18:50:27
34955519;01.03.2020 01:30:14;01.03.2020 03:56:42
34955526;01.03.2020 14:19:28;01.03.2020 21:55:43
34955531;01.03.2020 13:37:43;01.03.2020 22:32:08
34955537;01.03.2020 13:57:41;01.03.2020 18:04:18
34955544;01.03.2020 14:55:15;01.03.2020 18:50:15
34955568;01.03.2020 15:55:37;01.03.2020 21:44:57
34955573;01.03.2020 15:36:17;01.03.2020 21:43:48
34955588;01.03.2020 22:17:35;01.03.2020 23:00:13
34955602;01.03.2020 16:26:27;01.03.2020 22:19:58
34955603;01.03.2020 13:18:58;01.03.2020 15:25:46
34955623;01.03.2020 03:31:05;01.03.2020 07:03:01
34955626;01.03.2020 15:31:45;01.03.2020 23:43:46
34955655;01.03.2020 16:29:08;01.03.2020 20:14:29
34955657;01.03.2020 21:21:53;01.03.2020 23:03:05
34955688;01.03.2020 16:14:13;01.03.2020 19:06:23
34955695;01.03.2020 14:32:13;01.03.2020 23:31:23
34955706;01.03.2020 12:29:56;01.03.2020 16:26:44
34955707;01.03.2020 15:52:16;01.03.2020 19:30:20
34955712;01.03.2020 13:15:57;01.03.2020 18:29:26
34955731;01.03.2020 20:38:13;01.03.2020 22:10:15
34955734;01.03.2020 18:17:55;01.03.2020 20:40:46
34955741;01.03.2020 12:08:11;01.03.2020 21:37:29
34955763;01.03.2020 12:49:14;01.03.2020 23:09:25
34955775;01.03.2020 20:39:43;01.03.2020 22:07:06
34955808;01.03.2020 15:26:35;01.03.2020 20:53:21
34955837;01.03.2020 15:15:09;01.03.2020 23:42:41
34955840;01.03.2020 20:03:17;01.03.2020 21:48:06
34955845;01.03.2020 06:38:58;01.03.2020 17:29:06
34955855;01.03.2020 11:28:24;01.03.2020 14:01:15
34955866;01.03.2020 14:15:08;01.03.2020 20:58:42
34955868;01.03.2020 14:33:05;01.03.2020 21:29:34
34955871;01.03.2020 20:31:48;01.03.2020 20:54:25
34955879;01.03.2020 18:40:17;01.03.2020 23:58:49
34955880;01.03.2020 07:57:51;01.03.2020 17:49:27
34955882;01.03.2020 09:18:07;01.03.2020 12:32:36
34955901;01.03.2020 07:21:47;01.03.2020 15:36:58
34955941;01.03.2020 12:04:44;01.03.2020 14:53:54
34955948;01.03.2020 21:59:28;01.03.2020 23:19:39
34955951;01.03.2020 17:46:28;01.03.2020 23:22:54
34955955;01.03.2020 14:45:07;01.03.2020 20:45:38
34955961;01.03.2020 10:20:07;01.03.2020 13:58:54
34955966;01.03.2020 15:43:54;01.03.2020 20:30:44
34955970;01.03.2020 16:00:41;01.03.2020 19:53:47
34955979;01.03.2020 10:34:36;01.03.2020 14:37:19
34955983;01.03.2020 15:07:17;01.03.2020 20:33:52
34955996;01.03.2020 16:06:44;01.03.2020 20:25:53
34955997;01.03.2020 11:51:49;01.03.2020 15:36:28
34956022;01.03.2020 13:22:07;01.03.2020 16:03:43
34956024;01.03.2020 13:51:19;01.03.2020 21:48:30
34956032;01.03.2020 16:26:44;01.03.2020 21:33:22
34956050;02.03.2020 21:25:01;02.03.2020 22:58:53
34956052;02.03.2020 15:47:45;02.03.2020 21:20:13
34956053;02.03.2020 07:19:33;02.03.2020 13:37:13
34956055;02.03.2020 15:57:47;02.03.2020 23:48:40
34956065;02.03.2020 10:33:20;02.03.2020 14:45:06
34956066;02.03.2020 13:20:46;02.03.2020 19:21:12
34956067;02.03.2020 14:04:17;03.03.2020 00:33:03
34956068;02.03.2020 19:06:50;03.03.2020 00:01:54
34956069;02.03.2020 07:32:58;02.03.2020 14:13:04
34956074;02.03.2020 06:53:44;02.03.2020 12:16:45
34956076;02.03.2020 11:01:09;02.03.2020 16:53:18
34956088;02.03.2020 07:36:41;02.03.2020 17:42:06
34956106;02.03.2020 17:19:24;03.03.2020 00:12:46
34956107;02.03.2020 07:22:05;02.03.2020 16:41:42
34956119;02.03.2020 17:03:35;02.03.2020 18:23:07
34956136;02.03.2020 14:26:34;02.03.2020 23:43:20
34956137;02.03.2020 07:16:44;02.03.2020 15:02:09
34956139;02.03.2020 08:33:58;02.03.2020 14:22:53
34956141;02.03.2020 14:23:35;03.03.2020 00:32:13
34956160;02.03.2020 07:01:08;02.03.2020 19:08:46
34956171;02.03.2020 14:19:23;02.03.2020 21:54:27
34956173;02.03.2020 06:23:41;02.03.2020 13:20:44
34956178;02.03.2020 19:00:08;02.03.2020 22:22:13
34956181;02.03.2020 10:12:23;02.03.2020 15:37:53
34956182;02.03.2020 14:40:25;02.03.2020 20:36:26
34956187;02.03.2020 07:20:46;02.03.2020 21:06:25
34956195;02.03.2020 08:05:21;02.03.2020 14:07:23
34956196;02.03.2020 14:28:37;02.03.2020 23:35:24
34956199;02.03.2020 16:25:38;02.03.2020 23:29:59
34956200;02.03.2020 23:33:57;03.03.2020 00:16:41
34956203;02.03.2020 07:22:17;02.03.2020 16:20:09
34956211;02.03.2020 07:41:14;02.03.2020 17:16:29
34956214;02.03.2020 21:43:32;02.03.2020 22:40:54
34956227;02.03.2020 05:17:37;02.03.2020 15:08:49
34956228;02.03.2020 07:57:46;02.03.2020 13:49:10
34956230;02.03.2020 14:47:15;02.03.2020 21:43:21
34956245;02.03.2020 13:29:47;02.03.2020 23:23:39
34956251;02.03.2020 08:16:53;02.03.2020 14:33:15
34956254;02.03.2020 14:46:38;02.03.2020 23:21:26
34956255;02.03.2020 18:23:28;02.03.2020 23:14:46
34956263;02.03.2020 16:31:41;02.03.2020 21:56:56
34956273;02.03.2020 10:04:59;02.03.2020 14:36:21
34956274;02.03.2020 13:30:43;02.03.2020 18:09:00
34956285;02.03.2020 06:22:40;02.03.2020 15:31:56
34956293;02.03.2020 07:24:41;02.03.2020 16:41:34
34956296;02.03.2020 15:38:57;02.03.2020 20:07:50
34956300;02.03.2020 06:39:36;02.03.2020 14:43:55
34956305;02.03.2020 00:15:58;02.03.2020 05:10:45
34956306;02.03.2020 17:51:12;02.03.2020 23:55:20
34956319;02.03.2020 14:30:55;03.03.2020 00:17:29
34956321;02.03.2020 07:49:57;02.03.2020 14:36:00
34956326;02.03.2020 20:27:18;02.03.2020 20:57:44
34956327;02.03.2020 16:14:52;02.03.2020 20:30:33
34956337;02.03.2020 06:42:04;02.03.2020 16:09:04
34956340;02.03.2020 17:18:55;02.03.2020 22:25:33
34956345;02.03.2020 14:54:48;02.03.2020 21:21:14
34956346;02.03.2020 06:31:44;02.03.2020 14:55:52
34956354;02.03.2020 06:01:28;02.03.2020 15:07:49
34956358;02.03.2020 08:00:36;02.03.2020 20:43:52
34956370;02.03.2020 07:50:32;02.03.2020 15:34:23
34956371;02.03.2020 14:49:44;02.03.2020 23:29:57
34956386;02.03.2020 07:17:38;02.03.2020 11:16:50
34956387;02.03.2020 09:59:20;02.03.2020 16:00:21
34956395;02.03.2020 20:33:09;02.03.2020 21:48:53
34956405;02.03.2020 06:02:48;02.03.2020 16:28:07
34956408;02.03.2020 14:18:49;02.03.2020 21:52:56
34956409;02.03.2020 07:10:04;02.03.2020 14:24:28
34956412;02.03.2020 06:09:27;02.03.2020 13:26:25
34956415;02.03.2020 15:17:58;03.03.2020 00:05:56
34956417;02.03.2020 13:56:01;02.03.2020 22:00:20
34956421;02.03.2020 14:11:18;02.03.2020 17:12:39
34956424;02.03.2020 14:38:04;02.03.2020 22:24:02
34956426;02.03.2020 07:28:23;02.03.2020 14:34:02
34956428;02.03.2020 05:58:06;02.03.2020 15:10:15
34956436;02.03.2020 15:21:15;02.03.2020 23:27:42
34956442;02.03.2020 07:43:21;02.03.2020 15:14:02
34956503;02.03.2020 15:12:35;02.03.2020 20:12:01
34956504;02.03.2020 20:48:16;02.03.2020 21:43:00
34956520;02.03.2020 07:08:54;02.03.2020 18:07:10
34956521;02.03.2020 06:39:06;02.03.2020 15:53:27
34956524;02.03.2020 14:36:19;02.03.2020 19:05:07
34956526;02.03.2020 06:40:25;02.03.2020 16:55:18
34956527;02.03.2020 15:54:31;02.03.2020 23:04:16
34956538;02.03.2020 07:25:03;02.03.2020 14:32:02
34956540;02.03.2020 15:15:47;02.03.2020 23:51:30
34956565;02.03.2020 05:57:55;02.03.2020 16:26:04
34956567;02.03.2020 07:01:24;02.03.2020 16:35:16
34956568;02.03.2020 16:36:58;02.03.2020 23:45:37
34956577;02.03.2020 15:48:09;03.03.2020 00:10:56
34956579;02.03.2020 07:03:54;02.03.2020 15:55:24
34956581;02.03.2020 07:27:31;02.03.2020 13:31:43
34956582;02.03.2020 13:40:27;02.03.2020 22:46:10
34956596;02.03.2020 17:38:39;02.03.2020 20:42:26
34956597;02.03.2020 08:03:55;02.03.2020 18:47:27
34956602;02.03.2020 20:27:11;02.03.2020 21:46:27
34956604;02.03.2020 15:24:40;02.03.2020 18:51:44
34956605;02.03.2020 16:09:30;02.03.2020 21:28:29
34956614;02.03.2020 21:46:03;02.03.2020 23:36:27
34956624;02.03.2020 14:43:34;03.03.2020 00:45:53
34956626;02.03.2020 06:51:28;02.03.2020 15:52:45
34956630;02.03.2020 07:46:51;02.03.2020 15:00:07
34956637;02.03.2020 20:25:28;02.03.2020 21:06:46
34956656;02.03.2020 08:30:58;02.03.2020 18:59:30
34956658;02.03.2020 06:25:07;02.03.2020 14:13:07
34956660;02.03.2020 13:45:54;02.03.2020 22:35:38
34956666;02.03.2020 07:50:57;02.03.2020 16:23:04
34956686;02.03.2020 07:37:13;02.03.2020 16:05:35
34956687;02.03.2020 15:11:48;02.03.2020 17:21:05
34956701;02.03.2020 14:52:22;02.03.2020 22:26:03
34956702;02.03.2020 06:36:27;02.03.2020 14:11:16
34956703;02.03.2020 14:42:34;02.03.2020 21:29:52
34956704;02.03.2020 22:45:04;02.03.2020 23:55:11
34956708;02.03.2020 16:25:30;02.03.2020 22:13:38
34956715;02.03.2020 07:07:41;02.03.2020 15:32:59
34956721;02.03.2020 15:55:43;02.03.2020 20:00:19
34956724;02.03.2020 10:44:41;02.03.2020 16:55:36
34956741;02.03.2020 21:23:13;02.03.2020 23:01:03
34956750;02.03.2020 06:08:29;02.03.2020 15:10:58
34956756;02.03.2020 14:24:05;02.03.2020 22:25:29
34956767;02.03.2020 14:00:43;02.03.2020 23:42:54
34956783;02.03.2020 07:37:55;02.03.2020 16:37:22
34956790;02.03.2020 08:00:32;02.03.2020 14:56:56
34956791;02.03.2020 15:21:05;02.03.2020 22:37:16
34956804;02.03.2020 07:10:44;02.03.2020 16:13:10
34956813;02.03.2020 06:42:14;02.03.2020 16:47:35
34956817;02.03.2020 15:31:04;02.03.2020 19:31:00
34956827;02.03.2020 06:58:26;02.03.2020 16:01:15
34956830;02.03.2020 15:04:00;02.03.2020 19:12:21
34956833;02.03.2020 06:39:42;02.03.2020 15:16:36
34956837;02.03.2020 14:39:13;02.03.2020 21:01:07
34956838;02.03.2020 20:27:30;03.03.2020 01:43:19
34956844;02.03.2020 15:19:33;02.03.2020 19:52:18
34956847;02.03.2020 20:30:24;02.03.2020 22:20:17
34956851;02.03.2020 15:05:19;02.03.2020 20:39:51
34956854;02.03.2020 07:12:16;02.03.2020 13:48:45
34956862;02.03.2020 14:16:14;02.03.2020 22:38:16
34956864;02.03.2020 08:01:26;02.03.2020 13:47:07
34956868;02.03.2020 13:55:22;02.03.2020 22:56:33
34956882;02.03.2020 01:19:56;02.03.2020 08:37:47
34956883;02.03.2020 21:56:41;02.03.2020 23:24:41
34956885;02.03.2020 18:13:59;02.03.2020 21:40:46
34956888;02.03.2020 12:30:31;02.03.2020 19:07:23
34956895;02.03.2020 07:22:55;02.03.2020 15:58:48
34956897;02.03.2020 14:58:08;02.03.2020 22:39:18
34956905;02.03.2020 06:47:59;02.03.2020 16:35:17
34956916;02.03.2020 07:29:25;02.03.2020 10:16:37
34956917;02.03.2020 09:22:09;02.03.2020 15:35:07
34956918;02.03.2020 16:11:38;02.03.2020 19:41:40
34956926;02.03.2020 05:59:48;02.03.2020 07:28:13
34956929;02.03.2020 07:27:47;02.03.2020 15:49:54
34956935;02.03.2020 00:36:12;02.03.2020 05:26:29
34956940;02.03.2020 15:33:16;03.03.2020 01:01:12
34956947;02.03.2020 07:02:54;02.03.2020 14:58:10
34956958;02.03.2020 05:52:45;02.03.2020 15:50:35
34956961;02.03.2020 14:55:11;02.03.2020 23:01:34
34956965;02.03.2020 07:48:23;02.03.2020 16:14:16
34956977;02.03.2020 06:34:35;02.03.2020 22:33:01
34956980;02.03.2020 16:12:26;02.03.2020 20:34:50
34956981;02.03.2020 11:02:40;02.03.2020 17:44:46
34956991;02.03.2020 07:04:17;02.03.2020 15:45:55
34957000;02.03.2020 06:44:35;02.03.2020 18:30:52
34957014;02.03.2020 15:21:49;03.03.2020 00:22:51
34957018;02.03.2020 14:28:38;02.03.2020 21:26:57
34957019;02.03.2020 06:39:07;02.03.2020 13:58:05
34957021;02.03.2020 16:07:12;02.03.2020 21:01:18
34957022;02.03.2020 20:03:42;03.03.2020 00:08:53
34957026;02.03.2020 10:56:56;02.03.2020 16:39:09
34957028;02.03.2020 12:39:35;02.03.2020 18:13:53
34957030;02.03.2020 17:41:33;02.03.2020 21:12:10
34957032;02.03.2020 07:27:25;02.03.2020 14:57:41
34957033;02.03.2020 15:59:23;02.03.2020 22:54:55
34957054;02.03.2020 06:52:41;02.03.2020 17:14:07
34957055;02.03.2020 07:25:30;02.03.2020 16:08:29
34957056;02.03.2020 16:33:04;02.03.2020 21:12:41
34957057;02.03.2020 15:06:43;02.03.2020 23:15:49
34957079;02.03.2020 15:11:27;03.03.2020 00:55:16
34957091;02.03.2020 07:11:52;02.03.2020 16:39:08
34957093;02.03.2020 16:06:06;03.03.2020 00:14:00
34957097;02.03.2020 07:48:52;02.03.2020 14:17:01
34957102;02.03.2020 14:05:03;02.03.2020 22:17:28
34957104;02.03.2020 07:13:38;02.03.2020 19:27:05
34957111;02.03.2020 06:25:03;02.03.2020 13:34:28
34957113;02.03.2020 13:40:22;02.03.2020 23:02:00
34957120;02.03.2020 08:04:40;02.03.2020 18:18:13
34957123;02.03.2020 14:07:34;02.03.2020 22:26:02
34957125;02.03.2020 12:34:13;02.03.2020 15:27:09
34957130;02.03.2020 07:45:27;02.03.2020 16:21:31
34957131;02.03.2020 15:36:01;02.03.2020 21:30:12
34957150;02.03.2020 10:57:34;02.03.2020 21:39:11
34957166;02.03.2020 06:53:11;02.03.2020 19:16:43
34957178;03.03.2020 10:43:16;03.03.2020 16:19:06
34957179;03.03.2020 07:24:13;03.03.2020 12:02:25
34957182;03.03.2020 16:08:54;03.03.2020 21:39:59
34957183;03.03.2020 11:28:09;03.03.2020 15:42:14
34957184;03.03.2020 06:44:33;03.03.2020 20:08:45
34957202;03.03.2020 07:36:54;03.03.2020 17:40:59
